cv_cid,course_title,course_no,year,semester,instructor_string,course_start,course_end,reg_start,reg_end,roster_limit,reg_workflow,course_type,status
USIS5STDNOBQGGHXDDG7,การควบคุมยาสูบ รุ่นที่ 4,TRC.2016,2016,1,,0,0,0,0,45,invited_selfreg,selfpace,1
ODRCRDFROFTNYRC0PQU2,Survival Thai (2016),CU.MOOC.0001,2016,2,,1483491600,1496249999,1483491600,1485881999,14,invited_selfreg,selfpace,1
9W16HUAN3F0LB16BN1QC,การควบคุมยาสูบ รุ่นที่ 5,TRC.ELearning,2017,1,,1501779600,1528736399,0,0,50,purchase_to_enroll,weekly,1
NTFBS3C5O5HPWTX9B8YJ,ภาษาอาหรับในชีวิตประจำวัน,CU.MOOC.0002,2017,1,อ. ดร.ทรงศักดิ์  หมัดสะและ,1504803600,1509469199,1504803600,1508086799,100,purchase_to_enroll,selfpace,1
P074WP7NLCCMPJ200PE8,การทำความเข้าใจงบการเงิน,CU.MOOC.0003,2017,1,ผศ. ดร.พิมพ์พนา ปีตธวัชชัย,1504803600,1509469199,1504803600,1508086799,2000,free_selfreg,selfpace,1
5XHLA2Y7H0QLFD1DWNY8,การตลาดในศตวรรษที่ 21,CU.MOOC.0004,2017,1,อ. ดร.กฤตินี พงษ์ธนเลิศ,1504803600,1509469199,1504803600,1508086799,3500,free_selfreg,selfpace,1
2HY2YXY2OE3GY4BA6VYY,Survival Thai (Class of 2017),CU.MOOC.0001,2017,1,,1502384400,1533056399,0,0,200,purchase_to_enroll,selfpace,1
TC9PB66AVX3R5DS5TQMZ,ภาษาอาหรับในชีวิตประจำวัน รุ่นที่ 1,CU.MOOC.0002.2,2017,1,อ. ดร.ทรงศักดิ์  หมัดสะและ,1504803600,1509469199,1504803600,1508086799,1000,free_selfreg,selfpace,1
TJ39ZYUZ7HNE371LMWF0,English for Careers I : For Hotel Staff,CU.MOOC.0005,2017,1,คณาจารย์จากสถาบันภาษา จุฬาลงกรณ์มหาวิทยาลัย,1507514400,1512061199,1507514400,1508777999,2000,free_selfreg,selfpace,1
0TLKWF3A315ALPAUIU1M,English for Careers II : For Restaurant Staff,CU.MOOC.0006,2017,1,คณาจารย์จากสถาบันภาษา จุฬาลงกรณ์มหาวิทยาลัย,1507514400,1512061199,1507514400,1508777999,2000,free_selfreg,selfpace,1
E03Q8Y0SELQE6KZQST0A,Critical Thinking for Business,CU.MOOC.0007,2017,1,ผศ. ดร.เดชา เดชะวัฒนไพศาล,1507514400,1512061199,1507514400,1508777999,2000,free_selfreg,selfpace,1
DBK4CIYJZTBCYBNGY2FC,ภาษาอาหรับเบื้องต้น,CU.MOOC.007,2017,1,อ. ดร.ทรงศักดิ์  หมัดสะและ และ อ. นิรันดร์ ขันธวิธี ,1510678800,1514739599,1510678800,1512061199,2000,free_selfreg,selfpace,1
0XZI7HDLAWRDD50A3S5Q,ทำอย่างไรให้สินค้า Go Inter ขายได้ขายดี และดังข้ามโลก,CU.MOOC.009,2017,1,รศ. ดร.วรวรรณ องค์ครุฑรักษา,1513011600,1517417999,1513011600,1514307599,2000,free_selfreg,selfpace,1
292JLHBNNB1FCHZ31P25,การสร้าง Infographics: What &#38; How ?,CU.MOOC.008,2017,1,ผศ.สมิทธิ์ บุญชุติมา,1510678800,1514739599,1510678800,1512061199,2000,free_selfreg,selfpace,1
XLR53L88VNA8M6QBXNZ4,IT Security,CU.MOOC.010,2017,1,ผศ. ดร.เกริก ภิรมย์โสภา,1513011600,1517417999,1513011600,1514307599,2000,free_selfreg,selfpace,1
Q56DOQ8I5QEOOR28I3F0,International Advertising and Marketing Communications,2803381,2017,1,รศ. ดร.วรวรรณ องค์ครุฑรักษา,1523379600,1527785999,1523379600,1524675599,1000,purchase_to_enroll,selfpace,1
