v_id,cv_cid,video_source_id
ZIDHTXVVXSQZX0ZH49CN,USIS5STDNOBQGGHXDDG7,VB79884A9OC2KYK6H3WB
0UYCENV1YISTZ2YP3MB8,USIS5STDNOBQGGHXDDG7,VB79884A9OC2KYK6H3WB
2MBAIA1WVYH7W6N91U9O,USIS5STDNOBQGGHXDDG7,VB79884A9OC2KYK6H3WB
MCTF3W40S5TKQD9QA8W9,USIS5STDNOBQGGHXDDG7,VB79884A9OC2KYK6H3WB
A2C3H4LCS2QEGJUIBNSP,USIS5STDNOBQGGHXDDG7,VB79884A9OC2KYK6H3WB
VC88LH82MDJAODP3BNSR,USIS5STDNOBQGGHXDDG7,VB79884A9OC2KYK6H3WB
YPEEN2O3YVD0MH7ARC6V,USIS5STDNOBQGGHXDDG7,VB79884A9OC2KYK6H3WB
KPQPL6PEVNJK1D9YXFYH,USIS5STDNOBQGGHXDDG7,VB79884A9OC2KYK6H3WB
ZPKFOS41PFRXN4VANK9M,USIS5STDNOBQGGHXDDG7,VB79884A9OC2KYK6H3WB
UWNAU5ESW7J9PI7HQXWG,USIS5STDNOBQGGHXDDG7,VB79884A9OC2KYK6H3WB
ZIKQOCK8WLLIHDW9MOAC,USIS5STDNOBQGGHXDDG7,VB79884A9OC2KYK6H3WB
HZ9U21TKWEMRQEJ4UOPG,USIS5STDNOBQGGHXDDG7,VB79884A9OC2KYK6H3WB
OISVILO9NK9MNKMLTXG2,USIS5STDNOBQGGHXDDG7,VB79884A9OC2KYK6H3WB
W4XMBONOYJ0M3PUDKVZH,USIS5STDNOBQGGHXDDG7,BZV2DEBTCWJQZ9XJSTUM
L4LI030K8F5L8L1I42UT,USIS5STDNOBQGGHXDDG7,1WF44SB950QHYX0BJWAB
HQK82QPO0BGCTAK0WFZR,USIS5STDNOBQGGHXDDG7,7YMR655ZVGKIFFP7I922
NW8PE9ND33KGV0ARAB3B,USIS5STDNOBQGGHXDDG7,JAIGN1Y42Z1HF7ZFZWIO
EMEATC181GE8DEXL0EXY,USIS5STDNOBQGGHXDDG7,WUAD00DCKUS8RZDQPGWT
T1APEXNGW92BGE688OJ5,USIS5STDNOBQGGHXDDG7,98NV4BVSIGNZT26Y10QU
XQ39WRYTNADBGQ7UMGZ7,USIS5STDNOBQGGHXDDG7,EFR72T1CGCAHD61WLM3G
2LWP25TLEPUT8Z1Z67RQ,ODRCRDFROFTNYRC0PQU2,5OSBW1A7YMOT6IMUKIO2
XQKWCPDPICEAF2EM07UY,ODRCRDFROFTNYRC0PQU2,C8A2MNT42837TD65P9Q4
69AIORDW00QMMWRANLFW,ODRCRDFROFTNYRC0PQU2,R96ZD10BJ522O8E0OCZ3
DTVWWP8PN8P5495VX507,ODRCRDFROFTNYRC0PQU2,2H6EWJ2CL3F8R71Q3U7J
9PR02YQXH1SA98FIB8PL,ODRCRDFROFTNYRC0PQU2,OGYRKKNUY1UGCIV0FUCL
DBANQ8R8YXY4KU1HM4CC,ODRCRDFROFTNYRC0PQU2,AK137LX2FMGZ7YADKSH8
XRQLJ177A516XAXQBHYH,ODRCRDFROFTNYRC0PQU2,S666AUEZ3P6JKBQD9LGZ
188ZAE14Y1L72TAUVEUZ,ODRCRDFROFTNYRC0PQU2,AA3VKJ6Q7JPOMJMTYJQ1
JKM6I4NBI99CM766OMR9,ODRCRDFROFTNYRC0PQU2,JDW6AOFTJVO1TJCMQ5X1
K6YSF0LXI2FSQVV3AD1X,ODRCRDFROFTNYRC0PQU2,PKIR9C1ZNAL2VTAEOQWV
KS0RI12QQ7ZVGE42SK7G,ODRCRDFROFTNYRC0PQU2,97VOUL15J9E61EYNNE8P
